REGIÃO ;PAÍS;VALOR DO CONSUMO EM BILHÕES m3;ANO
América do Norte;Canadá;89,347225;2008
América do Norte;Estados Unidos;628,8911777;2008
América do Norte;México;59,99657839;2008
Américas Central e do Sul;Argentina;43,188725;2008
Américas Central e do Sul;Brasil;26,09712052;2008
Américas Central e do Sul;Chile;2,7651488;2008
Américas Central e do Sul;Colômbia;7,275114454;2008
Américas Central e do Sul;Equador;0,416631477;2008
Américas Central e do Sul;Peru;3,26939014;2008
Américas Central e do Sul;Trinidad e Tobago;20,72597404;2008
Américas Central e do Sul;Venezuela;35,12580252;2008
Europa e Eurásia;Outros;4,654993329;2008
Europa e Eurásia;Alemanha;89,50063031;2008
Europa e Eurásia;Áustria;8,911821354;2008
Europa e Eurásia;Azerbaijão;10,0345749;2008
Europa e Eurásia;Bielorrússia;20,16139381;2008
Europa e Eurásia;Bélgica;17,256775;2008
Europa e Eurásia;Bulgaria;3,392125;2008
Europa e Eurásia;Cazaquistão;10,58072381;2008
Europa e Eurásia;Croácia;3,027038889;2008
Europa e Eurásia;Dinamarca;4,771609952;2008
Europa e Eurásia;Eslováquia;6,008425;2008
Europa e Eurásia;Eslovênia;1,021397495;2008
Europa e Eurásia;Estônia;0,8975;2008
Europa e Eurásia;Espanha;40,59217331;2008
Europa e Eurásia;Finlândia ;4,188055556;2008
Europa e Eurásia;França;46,39779758;2008
Europa e Eurásia;Grécia ;4,053409732;2008
Europa e Eurásia;Holanda;40,25;2008
Europa e Eurásia;Hungria;12,28225;2008
Europa e Eurásia;Irlanda;5,220707;2008
Europa e Eurásia;Itália;81,44357805;2008
Europa e Eurásia;Letônia;1,575774336;2008
Europa e Eurásia;Lituânia;3,019148;2008
Europa e Eurásia;Luxemburgo;1,2714175;2008
Europa e Eurásia;Macedônia;0,112955212;2008
Europa e Eurásia;Noruega;4,2960575;2008
Europa e Eurásia;Polônia;15,64363889;2008
Europa e Eurásia;Portugal;4,802346206;2008
Europa e Eurásia;República Tcheca;8,342825;2008
Europa e Eurásia;Reino Unido;97,85013613;2008
Europa e Eurásia;Romênia;14,14145;2008
Europa e Eurásia;Rússia;422,7477139;2008
Europa e Eurásia;Suécia;0,928625;2008
Europa e Eurásia;Suíça;2,93825;2008
Europa e Eurásia;Turquia;35,2982375;2008
Europa e Eurásia;Turcomenistão;22,38714038;2008
Europa e Eurásia;Ucrânia;62,74705015;2008
Europa e Eurásia;Uzbequistão;50,94719764;2008
Europa e Eurásia;Outros;9,42541135;2008
Oriente Médio;Arábia Saudita;76,418;2008
Oriente Médio;Catar;19,25652227;2008
Oriente Médio;Coveite;12,065;2008
Oriente Médio;Emirados Árabes Unidos;57,9721155;2008
Oriente Médio;Irã;131,1804285;2008
Oriente Médio;Iraque;6,457625;2008
Oriente Médio;Israel;3,609775;2008
Oriente Médio;Omã;13,3611294;2008
Oriente Médio;Outros;20,72208651;2008
África;África do Sul;3,921920371;2008
África;África Central;2,326574009;2008
África;África Ocidental;16,44899603;2008
África;África Oriental;0,615485915;2008
África;Argélia;24,4041875;2008
África;Egito;39,3085;2008
África;Marrocos;0,58785378;2008
África;Outros Norte da África;10,98274974;2008
Ásia-Pacífico;Austrália;28,53495793;2008
Ásia-Pacífico;Bangladesh;16,37642015;2008
Ásia-Pacífico;China;81,9329059;2008
Ásia-Pacífico;Cingapura;8,714258568;2008
Ásia-Pacífico;Coreia do Sul;37,3368357;2008
Ásia-Pacífico;Filipinas;3,716512868;2008
Ásia-Pacífico;Hong Kong;3,01502046;2008
Ásia-Pacífico;Índia;39,987666;2008
Ásia-Pacífico;Indonésia;39,69468561;2008
Ásia-Pacífico;Japão;98,11742707;2008
Ásia-Pacífico;Malásia;43,549698;2008
Ásia-Pacífico;Nova Zelândia;3,997224001;2008
Ásia-Pacífico;Paquistão;34,60761096;2008
Ásia-Pacífico;Tailândia;36,94172563;2008
Ásia-Pacífico;Taiwan;12,17163299;2008
