,valores
0,43.828
1,76.423
2,72.301
3,42.731
4,75.32
5,81.235
6,79.829
7,75.635
8,64.062
9,79.441
10,56.728
11,65.554
12,74.852
13,50.728
14,72.39
15,73.005
16,52.295
17,49.58
18,59.723
19,50.43
20,80.653
21,44.74100000000001
22,50.651
23,78.553
24,72.961
25,72.889
26,65.152
27,46.462
28,55.322
29,78.782
30,48.328
31,75.748
32,78.273
33,76.486
34,78.332
35,54.791
36,72.235
37,74.994
38,71.33800000000002
39,71.878
40,51.57899999999999
41,58.04
42,52.947
43,79.313
44,80.657
45,56.735
46,59.448
47,79.406
48,60.022
49,79.483
50,70.259
51,56.007
52,46.38800000000001
53,60.916
54,70.19800000000001
55,82.208
56,73.33800000000002
57,81.757
58,64.69800000000001
59,70.65
60,70.964
61,59.545
62,78.885
63,80.745
64,80.546
65,72.567
66,82.603
67,72.535
68,54.11
69,67.297
70,78.623
71,77.58800000000002
72,71.993
73,42.592
74,45.678
75,73.952
76,59.44300000000001
77,48.303
78,74.241
79,54.467
80,64.164
81,72.801
82,76.195
83,66.803
84,74.543
85,71.164
86,42.082
87,62.069
88,52.90600000000001
89,63.785
90,79.762
91,80.204
92,72.899
93,56.867
94,46.859
95,80.196
96,75.64
97,65.483
98,75.53699999999998
99,71.752
100,71.421
101,71.688
102,75.563
103,78.098
104,78.74600000000002
105,76.442
106,72.476
107,46.242
108,65.528
109,72.777
110,63.062
111,74.002
112,42.56800000000001
113,79.972
114,74.663
115,77.926
116,48.159
117,49.339
118,80.941
119,72.396
120,58.556
121,39.613
122,80.884
123,81.70100000000002
124,74.143
125,78.4
126,52.517
127,70.616
128,58.42
129,69.819
130,73.923
131,71.777
132,51.542
133,79.425
134,78.242
135,76.384
136,73.747
137,74.249
138,73.422
139,62.698
140,42.38399999999999
141,43.487
