,valores
0,974.5803384
1,5937.0295259999975
2,6223.367465
3,4797.231267
4,12779.37964
5,34435.367439999995
6,36126.4927
7,29796.04834
8,1391.253792
9,33692.60508
10,1441.284873
11,3822.137084
12,7446.298803
13,12569.85177
14,9065.800825
15,10680.79282
16,1217.032994
17,430.0706916
18,1713.778686
19,2042.09524
20,36319.23501
21,706.016537
22,1704.063724
23,13171.63885
24,4959.114854
25,7006.580419
26,986.1478792
27,277.5518587
28,3632.557798
29,9645.06142
30,1544.750112
31,14619.222719999998
32,8948.102923
33,22833.30851
34,35278.41874
35,2082.4815670000007
36,6025.374752000002
37,6873.262326000001
38,5581.180998
39,5728.353514
40,12154.08975
41,641.3695236000002
42,690.8055759
43,33207.0844
44,30470.0167
45,13206.48452
46,752.7497265
47,32170.37442
48,1327.60891
49,27538.41188
50,5186.050003
51,942.6542111
52,579.2317429999998
53,1201.637154
54,3548.330846000001
55,39724.97867
56,18008.94444
57,36180.78919
58,2452.210407
59,3540.651564
60,11605.71449
61,4471.061906
62,40675.99635
63,25523.2771
64,28569.7197
65,7320.880262000002
66,31656.06806
67,4519.461171
68,1463.249282
69,1593.06548
70,23348.13973000001
71,47306.98978
72,10461.05868
73,1569.331442
74,414.5073415
75,12057.49928
76,1044.770126
77,759.3499101
78,12451.6558
79,1042.581557
80,1803.151496
81,10956.99112
82,11977.57496
83,3095.772271000001
84,9253.896111
85,3820.17523
86,823.6856205
87,944.0
88,4811.060429
89,1091.359778
90,36797.93332
91,25185.00911
92,2749.320965
93,619.6768923999998
94,2013.977305
95,49357.19017
96,22316.19287
97,2605.94758
98,9809.185636
99,4172.838464
100,7408.905561
101,3190.481016
102,15389.924680000002
103,20509.64777
104,19328.70901
105,7670.122558
106,10808.47561
107,863.0884639000003
108,1598.435089
109,21654.83194
110,1712.472136
111,9786.534714
112,862.5407561000003
113,47143.17964
114,18678.31435
115,25768.25759
116,926.1410683
117,9269.657808
118,28821.0637
119,3970.095407
120,2602.394995
121,4513.480643
122,33859.74835
123,37506.41907
124,4184.548089
125,28718.27684
126,1107.482182
127,7458.396326999998
128,882.9699437999999
129,18008.50924
130,7092.923025
131,8458.276384
132,1056.380121
133,33203.26128
134,42951.65309
135,10611.46299
136,11415.80569
137,2441.576404
138,3025.349798
139,2280.769906
140,1271.211593
141,469.70929810000007
