,valores
0,31.889923
1,3.600523
2,33.333216
3,12.420476
4,40.301927
5,20.434176
6,8.199783
7,0.708573
8,150.448339
9,10.392226
10,8.078314
11,9.119152
12,4.552198
13,1.639131
14,190.010647
15,7.322858
16,14.326203
17,8.390505
18,14.131858
19,17.696293
20,33.390141
21,4.369038
22,10.238807
23,16.284741
24,1318.683096
25,44.22755
26,0.71096
27,64.606759
28,3.80061
29,4.133884
30,18.013409
31,4.493312
32,11.416987
33,10.228744
34,5.46812
35,0.496374
36,9.319622
37,13.75568
38,80.264543
39,6.939688
40,0.551201
41,4.906585
42,76.511887
43,5.23846
44,61.083916
45,1.454867
46,1.688359
47,82.400996
48,22.873338
49,10.70629
50,12.572928
51,9.947814
52,1.472041
53,8.502814
54,7.483763
55,6.980412
56,9.956108
57,0.301931
58,1110.396331
59,223.547
60,69.45357
61,27.499638
62,4.109086
63,6.426679
64,58.147733
65,2.780132
66,127.467972
67,6.053193
68,35.610177
69,23.301725
70,49.04479
71,2.505559
72,3.921278
73,2.012649
74,3.193942
75,6.036914
76,19.167654
77,13.327079
78,24.821286
79,12.031795
80,3.270065
81,1.250882
82,108.700891
83,2.874127
84,0.684736
85,33.757175
86,19.951656
87,47.76198
88,2.05508
89,28.90179
90,16.570613
91,4.115771
92,5.675356
93,12.894865
94,135.031164
95,4.627926
96,3.204897
97,169.270617
98,3.242173
99,6.667147
100,28.674757
101,91.077287
102,38.518241
103,10.642836
104,3.942491
105,0.798094
106,22.276056
107,8.860588
108,0.199579
109,27.601038
110,12.267493
111,10.150265
112,6.144562
113,4.553009
114,5.447502
115,2.009245
116,9.118773
117,43.997828
118,40.448191
119,20.378239
120,42.292929
121,1.133066
122,9.031088
123,7.554661
124,19.314747
125,23.174294
126,38.13964
127,65.068149
128,5.701579
129,1.056608
130,10.276158
131,71.158647
132,29.170398
133,60.776238
134,301.139947
135,3.447496
136,26.084662
137,85.262356
138,4.018332
139,22.211743
140,11.746035
141,12.311143
